Model,Activation,Optimizer,SeqLen,GradClip,Acc,F1
BiLSTM,tanh,rmsprop,50,Yes,0.76744,0.7670879174255631
BiLSTM,tanh,rmsprop,100,No,0.79348,0.7917524687771045
BiLSTM,tanh,rmsprop,100,Yes,0.78396,0.780400203320869
BiLSTM,relu,adam,25,No,0.71944,0.719027413560286
BiLSTM,relu,adam,25,Yes,0.722,0.7219880361443523
BiLSTM,relu,adam,50,No,0.76576,0.7652956443796541
BiLSTM,relu,adam,50,Yes,0.767,0.7667676927854088
BiLSTM,relu,adam,100,No,0.82132,0.8212974231453263
BiLSTM,relu,adam,100,Yes,0.81504,0.8150394779674226
BiLSTM,relu,sgd,25,No,0.50036,0.49908557673016923
BiLSTM,relu,sgd,25,Yes,0.4966,0.49600774943290116
BiLSTM,relu,sgd,50,No,0.49608,0.4960312029188414
BiLSTM,relu,sgd,50,Yes,0.50228,0.5011554295430525
BiLSTM,relu,sgd,100,No,0.50812,0.5052351002823875
BiLSTM,relu,sgd,100,Yes,0.51196,0.5119355350854059
BiLSTM,relu,rmsprop,25,No,0.72184,0.7218108297512618
BiLSTM,relu,rmsprop,25,Yes,0.70636,0.7028188170782076
BiLSTM,relu,rmsprop,50,No,0.76844,0.7677877156933828
BiLSTM,relu,rmsprop,50,Yes,0.76324,0.7626030068922135
BiLSTM,relu,rmsprop,100,No,0.80296,0.8010681279777145
BiLSTM,relu,rmsprop,100,Yes,0.78772,0.7853898401439404
BiLSTM,sigmoid,adam,25,No,0.68464,0.6844240369782403
BiLSTM,sigmoid,adam,25,Yes,0.70928,0.7092040599197502
BiLSTM,sigmoid,adam,50,No,0.7438,0.7435497205297344
BiLSTM,sigmoid,adam,50,Yes,0.7514,0.7492908950128842
BiLSTM,sigmoid,adam,100,No,0.71608,0.7072408586160205
BiLSTM,sigmoid,adam,100,Yes,0.75216,0.7520399873538792
BiLSTM,sigmoid,sgd,25,No,0.5,0.3333333333333333
BiLSTM,sigmoid,sgd,25,Yes,0.5,0.3333333333333333
BiLSTM,sigmoid,sgd,50,No,0.50144,0.4110068202537077
BiLSTM,sigmoid,sgd,50,Yes,0.50956,0.42950523014027026
BiLSTM,sigmoid,sgd,100,No,0.5,0.3333333333333333
BiLSTM,sigmoid,sgd,100,Yes,0.5,0.3333333333333333
BiLSTM,sigmoid,rmsprop,25,No,0.70236,0.6984492930981138
BiLSTM,sigmoid,rmsprop,25,Yes,0.68864,0.6792024205954446
BiLSTM,sigmoid,rmsprop,50,No,0.74812,0.7478359943375521
BiLSTM,sigmoid,rmsprop,50,Yes,0.73568,0.7308764240579535
BiLSTM,sigmoid,rmsprop,100,No,0.79372,0.7937130605073555
BiLSTM,sigmoid,rmsprop,100,Yes,0.78928,0.7882941498758207
